# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 88.001185 65.28425
# Box Maximum: 141.0981 176.00237 130.5685
# <6022>
# ID	Position (x y z)	Area	type
1	71.45494 104.29618 103.2605	lh.superiorfrontal	ex
2	71.86381 103.05542 103.39601	lh.superiorfrontal	ex
3	71.59409 102.19948 102.04597	lh.superiorfrontal	ex
4	70.92073 102.67733 100.7031	lh.superiorfrontal	ex
5	70.70187 109.01763 77.16661	rh.caudalanteriorcingulate	ex
6	70.80696 111.89302 75.60735	rh.caudalanteriorcingulate	ex
7	72.00273 114.44973 87.22164	rh.caudalanteriorcingulate	ex
8	80.8443 108.37475 85.34332	rh.superiorfrontal	ex
9	77.35195 110.6668 97.58447	rh.superiorfrontal	ex
10	76.27484 112.83707 103.0115	rh.superiorfrontal	ex
11	76.85989 122.28474 99.22994	rh.superiorfrontal	ex
12	75.58671 111.86203 105.03332	rh.superiorfrontal	ex
13	71.13415 105.19156 92.71435	lh.posteriorcingulate	ex
14	70.66262 124.10479 94.70304	lh.superiorfrontal	ex
15	71.44706 104.53155 77.67059	rh.caudalanteriorcingulate	ex
16	70.84339 105.69148 76.80836	rh.caudalanteriorcingulate	ex
17	70.76031 106.63843 76.88092	rh.caudalanteriorcingulate	ex
18	78.99062 108.52517 86.88352	rh.caudalanteriorcingulate	ex
19	70.71417 107.79615 77.87988	rh.caudalanteriorcingulate	ex
20	70.74801 107.85991 76.16765	rh.caudalanteriorcingulate	ex
21	80.42959 110.79123 86.76914	rh.caudalanteriorcingulate	ex
22	78.91537 112.15146 87.81317	rh.caudalanteriorcingulate	ex
23	70.61648 113.32092 76.40555	rh.caudalanteriorcingulate	ex
24	73.36656 114.83788 88.87274	rh.caudalanteriorcingulate	ex
25	71.81891 119.24052 84.60216	rh.caudalanteriorcingulate	ex
26	77.83948 118.13346 84.30518	rh.caudalanteriorcingulate	ex
27	95.21279 123.96588 96.74993	rh.caudalmiddlefrontal	ex
28	73.10486 96.53226 77.91841	rh.posteriorcingulate	ex
29	77.27122 104.54464 107.90396	rh.superiorfrontal	ex
30	79.81782 109.03589 86.43986	rh.superiorfrontal	ex
31	90.28192 109.63697 106.55848	rh.superiorfrontal	ex
32	77.01693 112.55599 107.69962	rh.superiorfrontal	ex
33	75.55432 111.77541 106.86508	rh.superiorfrontal	ex
34	76.56997 112.24314 103.31983	rh.superiorfrontal	ex
35	81.45596 110.13022 85.67372	rh.superiorfrontal	ex
36	89.83713 111.12566 106.5105	rh.superiorfrontal	ex
37	77.29816 113.33868 107.37055	rh.superiorfrontal	ex
38	74.20717 120.05774 99.16477	rh.superiorfrontal	ex
39	94.86469 121.25167 95.33137	rh.superiorfrontal	ex
40	94.94013 124.57009 98.86026	rh.superiorfrontal	ex
41	94.60048 123.61685 97.38955	rh.superiorfrontal	ex
42	93.3129 124.31519 95.75989	rh.superiorfrontal	ex
43	92.12321 126.46426 96.40421	rh.superiorfrontal	ex
44	93.83456 126.55734 98.82905	rh.superiorfrontal	ex
45	92.64897 127.10452 97.89038	rh.superiorfrontal	ex
46	72.2535 124.88108 94.71638	rh.superiorfrontal	ex
47	71.32536 124.12328 93.58667	rh.superiorfrontal	ex
48	70.62761 110.06045 92.20611	lh.posteriorcingulate	ex
49	70.78828 111.08256 89.91934	lh.caudalanteriorcingulate	ex
50	70.67006 111.3879 91.38805	lh.caudalanteriorcingulate	ex
51	79.60088 110.29541 88.02715	rh.superiorfrontal	ex
52	70.96461 118.62252 72.98955	rh.caudalanteriorcingulate	ex
53	70.96221 121.11966 71.30273	rh.caudalanteriorcingulate	ex
54	71.20175 122.00373 69.66612	rh.caudalanteriorcingulate	ex
55	70.63177 107.70727 93.59939	lh.posteriorcingulate	ex
56	71.14437 106.85708 92.3912	lh.posteriorcingulate	ex
57	70.89719 106.89332 91.05292	lh.posteriorcingulate	ex
58	70.85941 108.42252 91.07019	lh.posteriorcingulate	ex
59	71.37872 110.77027 100.43464	lh.superiorfrontal	ex
60	71.28975 111.45474 97.32612	lh.superiorfrontal	ex
61	71.68193 111.91704 99.14429	lh.superiorfrontal	ex
62	71.08876 112.67953 95.94548	lh.superiorfrontal	ex
63	78.95913 104.45111 108.87746	rh.superiorfrontal	ex
64	77.29036 107.26462 87.81662	rh.superiorfrontal	ex
65	70.57306 115.73886 73.14846	rh.caudalanteriorcingulate	ex
66	90.91784 107.77979 103.52671	rh.caudalmiddlefrontal	ex
67	75.80437 114.84873 88.69643	rh.caudalanteriorcingulate	ex
68	72.79625 115.70516 87.55033	rh.caudalanteriorcingulate	ex
69	70.59115 115.86988 75.03482	rh.caudalanteriorcingulate	ex
70	70.76189 117.54275 70.71969	rh.caudalanteriorcingulate	ex
71	71.10169 119.05579 70.3246	rh.caudalanteriorcingulate	ex
72	70.65656 124.10871 71.27929	rh.caudalanteriorcingulate	ex
73	71.8242 113.88509 85.94874	rh.caudalanteriorcingulate	ex
74	71.60747 113.45245 84.88779	rh.caudalanteriorcingulate	ex
75	71.24235 89.7023 75.27503	rh.posteriorcingulate	ex
76	70.98748 116.54716 82.16329	rh.caudalanteriorcingulate	ex
77	71.56229 111.28432 102.12912	lh.superiorfrontal	ex
78	94.41954 104.99419 102.35771	rh.caudalmiddlefrontal	ex
79	93.44077 106.0637 103.52258	rh.caudalmiddlefrontal	ex
80	91.34305 105.98639 99.84286	rh.caudalmiddlefrontal	ex
81	91.69712 106.7234 102.75095	rh.caudalmiddlefrontal	ex
82	91.68483 106.06419 100.78151	rh.caudalmiddlefrontal	ex
83	79.77656 103.12518 105.67126	rh.superiorfrontal	ex
84	77.64182 110.2767 96.40037	rh.superiorfrontal	ex
85	81.72651 110.06213 85.96361	rh.superiorfrontal	ex
86	77.68863 108.86477 87.9443	rh.caudalanteriorcingulate	ex
87	71.29565 109.5705 85.48915	rh.caudalanteriorcingulate	ex
88	77.99221 111.43884 88.74471	rh.caudalanteriorcingulate	ex
89	78.36929 113.58133 87.90878	rh.caudalanteriorcingulate	ex
90	77.04343 113.63452 88.88509	rh.caudalanteriorcingulate	ex
91	71.28512 116.07911 83.74621	rh.caudalanteriorcingulate	ex
92	70.87039 117.25441 72.29114	rh.caudalanteriorcingulate	ex
93	78.59235 106.92501 86.75584	rh.superiorfrontal	ex
94	73.18775 109.36023 89.81618	rh.caudalanteriorcingulate	ex
95	71.96532 109.15158 87.95029	rh.caudalanteriorcingulate	ex
96	76.92236 112.32656 89.52553	rh.caudalanteriorcingulate	ex
97	74.45472 112.26383 90.02288	rh.caudalanteriorcingulate	ex
98	73.77214 92.39155 103.28903	rh.superiorfrontal	ex
99	74.31104 100.29153 104.045	rh.superiorfrontal	ex
100	76.85726 102.19035 105.17193	rh.superiorfrontal	ex
101	73.8628 100.67396 102.91628	rh.superiorfrontal	ex
102	75.71445 111.95007 99.92549	rh.superiorfrontal	ex
103	74.48151 111.80167 96.00343	rh.superiorfrontal	ex
104	74.53943 113.24654 91.69291	rh.superiorfrontal	ex
105	75.85212 113.65221 104.68022	rh.superiorfrontal	ex
106	74.65384 114.44852 104.2055	rh.superiorfrontal	ex
107	78.81363 113.54901 89.43121	rh.superiorfrontal	ex
108	76.46477 114.15293 89.65271	rh.superiorfrontal	ex
109	74.9497 114.22966 90.32878	rh.superiorfrontal	ex
110	72.55034 115.85858 91.96887	rh.superiorfrontal	ex
111	75.28616 115.79904 89.75991	rh.superiorfrontal	ex
112	74.64083 116.70186 89.95967	rh.superiorfrontal	ex
113	73.30604 116.52742 90.96626	rh.superiorfrontal	ex
114	74.18224 118.60026 88.47677	rh.superiorfrontal	ex
115	71.98877 110.85729 87.85235	rh.caudalanteriorcingulate	ex
116	73.29491 111.29467 89.8294	rh.caudalanteriorcingulate	ex
117	72.74165 116.75616 86.75527	rh.caudalanteriorcingulate	ex
118	76.72154 102.49703 104.38306	rh.superiorfrontal	ex
119	73.77226 104.95928 104.1108	rh.superiorfrontal	ex
120	73.02689 107.64532 105.13489	rh.superiorfrontal	ex
121	73.25526 110.03523 104.12192	rh.superiorfrontal	ex
122	75.14054 111.58264 102.2631	rh.superiorfrontal	ex
123	71.99502 116.83704 93.12203	rh.superiorfrontal	ex
124	77.37865 109.82439 88.80676	rh.superiorfrontal	ex
125	70.55091 121.7528 72.91045	rh.caudalanteriorcingulate	ex
126	77.04214 115.55938 88.9729	rh.superiorfrontal	ex
127	74.15727 111.20153 103.97659	rh.superiorfrontal	ex
128	74.45919 114.25275 89.28812	rh.caudalanteriorcingulate	ex
129	73.98098 109.28321 93.06304	rh.superiorfrontal	ex
130	71.3371 119.90168 83.16319	rh.caudalanteriorcingulate	ex
131	70.89588 120.29698 80.04851	rh.caudalanteriorcingulate	ex
132	71.26483 120.96279 81.79231	rh.caudalanteriorcingulate	ex
133	70.677 120.35459 78.22263	rh.caudalanteriorcingulate	ex
134	70.69956 121.63957 77.85518	rh.caudalanteriorcingulate	ex
135	71.57985 122.76341 86.53007	rh.superiorfrontal	ex
136	70.85573 127.80543 84.56601	rh.superiorfrontal	ex
137	77.86619 131.79383 73.97343	rh.superiorfrontal	ex
138	73.79545 101.79284 102.93184	rh.superiorfrontal	ex
139	75.08726 102.63858 103.8874	rh.superiorfrontal	ex
140	73.72497 114.85898 102.67038	rh.superiorfrontal	ex
141	79.57914 123.90383 98.71165	rh.superiorfrontal	ex
142	70.56138 92.89588 66.46551	rh.posteriorcingulate	ex
143	70.5872 123.31143 90.70831	rh.superiorfrontal	ex
144	70.74451 121.64754 67.89984	rh.caudalanteriorcingulate	ex
145	70.85411 102.7389 76.20391	rh.caudalanteriorcingulate	ex
146	70.93265 124.74093 91.80848	rh.superiorfrontal	ex
147	70.77879 126.06683 91.11265	rh.superiorfrontal	ex
148	71.53437 127.33046 92.29145	rh.superiorfrontal	ex
149	76.92408 139.17403 66.30674	rh.rostralanteriorcingulate	ex
150	71.85907 135.91073 74.66414	rh.superiorfrontal	ex
