# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 0.0 65.28425
# Box Maximum: 70.54905 88.001185 130.5685
# <7250>
# ID	Position (x y z)	Area	type
1	8.26002 55.37049 66.46258	lh.bankssts	ex
2	8.20936 53.92482 66.47345	lh.middletemporal	ex
3	6.88631 55.8976 66.01578	lh.middletemporal	ex
4	9.86389 56.26897 66.46419	lh.middletemporal	ex
5	15.19262 56.74932 65.38671	lh.bankssts	ex
6	13.51187 56.69247 65.60802	lh.middletemporal	ex
7	23.30871 64.11578 74.8624	lh.superiortemporal	ex
8	20.10114 69.68206 67.90579	lh.superiortemporal	ex
9	14.22795 56.31911 67.94543	lh.bankssts	ex
10	13.12605 56.9904 68.06689	lh.bankssts	ex
11	14.45154 57.70282 67.65021	lh.bankssts	ex
12	14.76632 54.66845 67.04312	lh.supramarginal	ex
13	7.54816 54.88335 67.46696	lh.bankssts	ex
14	6.37738 56.15551 68.07389	lh.bankssts	ex
15	8.78121 55.41727 66.94782	lh.middletemporal	ex
16	7.51261 53.33694 68.59815	lh.supramarginal	ex
17	6.39982 57.62272 67.64589	lh.bankssts	ex
18	6.01038 55.7362 69.73313	lh.superiortemporal	ex
19	29.73838 65.85505 70.55659	lh.superiortemporal	ex
20	30.68012 66.67135 69.35211	lh.superiortemporal	ex
21	32.34297 66.71905 68.96059	lh.superiortemporal	ex
22	19.69861 68.75641 67.85263	lh.superiortemporal	ex
23	23.33624 68.68283 67.9348	lh.superiortemporal	ex
24	15.23178 69.96733 67.86616	lh.superiortemporal	ex
25	12.36848 71.49089 67.21155	lh.superiortemporal	ex
26	32.93497 70.50514 65.57409	lh.superiortemporal	ex
27	25.49427 70.57311 67.96127	lh.superiortemporal	ex
28	22.25478 69.78617 68.16592	lh.superiortemporal	ex
29	25.00041 71.76074 68.04495	lh.superiortemporal	ex
30	25.67165 73.35976 67.82464	lh.superiortemporal	ex
31	23.58599 72.33521 68.78488	lh.superiortemporal	ex
32	22.39819 71.46537 68.89145	lh.superiortemporal	ex
33	23.59851 74.25162 68.82441	lh.superiortemporal	ex
34	24.59471 74.86925 68.22624	lh.superiortemporal	ex
