# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 0.0 65.28425
# Box Maximum: 141.0981 88.001185 130.5685
# <8260>
# ID	Position (x y z)	Area	type
1	71.40612 7.05441 65.58117	lh.lateraloccipital	ex
2	72.38253 10.5313 66.79312	lh.cuneus	ex
3	71.6998 9.72758 66.25824	lh.cuneus	ex
4	71.6767 10.87973 68.49204	lh.cuneus	ex
5	73.10168 11.42956 65.93444	lh.cuneus	ex
6	72.30181 11.63728 69.27559	lh.cuneus	ex
7	71.42371 12.17412 71.1704	lh.cuneus	ex
8	73.30167 12.9531 68.48042	lh.cuneus	ex
9	73.39561 13.09378 66.83705	lh.cuneus	ex
10	72.17815 13.39464 71.71407	lh.cuneus	ex
11	73.63407 13.94436 70.85994	lh.cuneus	ex
12	71.77751 14.84223 72.42927	lh.cuneus	ex
13	73.87949 14.03965 69.5211	lh.cuneus	ex
14	73.23262 14.74026 66.1126	lh.cuneus	ex
15	73.78308 15.41492 70.78221	lh.cuneus	ex
16	74.02839 15.50914 69.44337	lh.cuneus	ex
17	73.06508 16.62879 65.79138	lh.cuneus	ex
18	72.79468 16.2754 71.40052	lh.cuneus	ex
19	70.65548 15.17674 73.27758	lh.superiorparietal	ex
20	73.66545 16.96545 68.4962	lh.cuneus	ex
21	73.15235 18.0907 71.06724	lh.cuneus	ex
22	73.44294 17.52519 66.60934	lh.cuneus	ex
23	73.7777 18.68545 69.50175	lh.cuneus	ex
24	73.31755 19.61328 66.57929	lh.cuneus	ex
25	73.48636 17.61665 81.60814	lh.cuneus	ex
26	73.6104 18.79323 81.69941	lh.cuneus	ex
27	72.54344 16.53475 83.00873	lh.superiorparietal	ex
28	73.89568 16.98184 79.50927	lh.superiorparietal	ex
29	74.34738 17.46083 77.32441	lh.cuneus	ex
30	74.50555 18.6879 77.02036	lh.cuneus	ex
31	73.41322 16.51429 76.12119	lh.superiorparietal	ex
32	74.27968 19.45866 75.30145	lh.cuneus	ex
33	74.3786 19.82065 78.28234	lh.cuneus	ex
34	73.44242 18.67153 71.88931	lh.cuneus	ex
35	73.7311 20.07313 68.74573	lh.cuneus	ex
36	72.08204 18.27556 84.68629	lh.cuneus	ex
37	72.72418 19.28876 83.25753	lh.cuneus	ex
38	72.02534 16.69812 84.52876	lh.superiorparietal	ex
39	71.41262 18.92971 85.43221	lh.superiorparietal	ex
40	70.59096 21.48444 85.09437	lh.cuneus	ex
41	72.93721 20.64487 83.05585	lh.cuneus	ex
42	73.99124 20.4224 80.42886	lh.cuneus	ex
43	74.2524 19.14073 73.83943	lh.cuneus	ex
44	73.98943 21.17154 76.26304	lh.cuneus	ex
45	73.60662 17.87777 73.22818	lh.cuneus	ex
46	74.0882 19.93341 72.50056	lh.cuneus	ex
47	72.70449 16.81963 74.32599	lh.superiorparietal	ex
48	73.52129 21.25552 69.35342	lh.cuneus	ex
49	72.71464 20.38867 65.86306	lh.cuneus	ex
50	72.06766 21.6877 66.99815	lh.cuneus	ex
51	73.63192 21.61688 81.7922	lh.cuneus	ex
52	72.13352 21.41724 84.36442	lh.cuneus	ex
53	74.19175 20.85865 79.41471	lh.cuneus	ex
54	73.58853 23.00125 82.00948	lh.cuneus	ex
55	74.1216 21.29122 77.7404	lh.cuneus	ex
56	73.93485 22.32814 78.87278	lh.cuneus	ex
57	73.04137 22.37899 75.60942	lh.cuneus	ex
58	73.71542 21.17204 72.40706	lh.cuneus	ex
59	73.48519 21.68835 70.83688	lh.cuneus	ex
60	72.46066 22.09686 68.32206	lh.cuneus	ex
61	70.58861 21.96859 66.8659	lh.cuneus	ex
62	72.09477 23.05085 84.83628	lh.cuneus	ex
63	70.55224 23.11697 85.56623	lh.cuneus	ex
64	73.18457 23.21088 79.1641	lh.cuneus	ex
65	72.80617 23.71048 76.94839	lh.cuneus	ex
66	72.91501 23.8456 78.49081	lh.cuneus	ex
67	72.59266 24.51449 76.19143	lh.cuneus	ex
68	72.89356 22.25973 73.75681	lh.cuneus	ex
69	72.02106 23.15694 72.75496	lh.cuneus	ex
