# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 65.28425
# Box Maximum: 70.54905 176.00237 130.5685
# <5656>
# ID	Position (x y z)	Area	type
1	32.54735 113.51709 75.72399	lh.parsopercularis	ex
2	31.53501 114.58792 75.91756	lh.parsopercularis	ex
3	30.76956 113.03929 75.88562	lh.precentral	ex
4	28.31431 111.69887 80.96028	lh.precentral	ex
5	68.92583 103.75487 83.65897	lh.caudalanteriorcingulate	ex
6	69.33685 104.77694 82.79706	lh.caudalanteriorcingulate	ex
7	69.51685 102.89948 83.19944	lh.posteriorcingulate	ex
8	68.66529 103.66124 85.15988	lh.posteriorcingulate	ex
9	63.81678 106.96629 95.36266	lh.caudalanteriorcingulate	ex
10	64.9592 107.2388 95.42072	lh.caudalanteriorcingulate	ex
11	63.69939 108.03818 94.7641	lh.caudalanteriorcingulate	ex
12	63.54012 107.26386 95.96831	lh.superiorfrontal	ex
13	68.75918 105.8279 83.62188	lh.caudalanteriorcingulate	ex
14	69.50548 104.67035 80.00199	lh.posteriorcingulate	ex
15	66.35541 107.22568 95.89233	lh.caudalanteriorcingulate	ex
16	67.1497 108.71075 95.22077	lh.caudalanteriorcingulate	ex
17	67.11246 105.79534 96.71997	lh.posteriorcingulate	ex
18	69.13588 107.18907 82.79863	lh.caudalanteriorcingulate	ex
19	69.56459 98.69394 87.99471	lh.posteriorcingulate	ex
20	68.55311 105.00798 84.94869	lh.posteriorcingulate	ex
21	68.68401 104.93378 74.72188	lh.posteriorcingulate	ex
22	70.34303 104.4068 101.24198	lh.superiorfrontal	ex
23	69.72394 104.61376 74.85732	rh.caudalanteriorcingulate	ex
24	70.26882 108.53743 81.68341	rh.caudalanteriorcingulate	ex
25	66.03699 110.15004 94.28303	lh.caudalanteriorcingulate	ex
26	68.65647 108.49527 95.22342	lh.posteriorcingulate	ex
27	63.19813 109.02227 94.11422	lh.caudalanteriorcingulate	ex
28	64.24714 110.09406 93.75656	lh.caudalanteriorcingulate	ex
29	62.54457 108.69295 94.77028	lh.superiorfrontal	ex
30	68.60153 108.47429 83.28479	lh.caudalanteriorcingulate	ex
31	69.21116 106.19087 80.09821	lh.posteriorcingulate	ex
32	63.46247 111.20748 92.70939	lh.caudalanteriorcingulate	ex
33	69.07346 108.61217 84.57685	lh.caudalanteriorcingulate	ex
34	68.77138 109.7372 82.27098	lh.caudalanteriorcingulate	ex
35	69.61566 112.82924 68.36085	lh.caudalanteriorcingulate	ex
36	64.32502 117.02918 89.15228	lh.caudalanteriorcingulate	ex
37	63.31709 124.52793 79.31941	lh.caudalanteriorcingulate	ex
38	64.43729 120.4827 104.5718	lh.superiorfrontal	ex
39	63.33505 120.59104 105.13522	lh.superiorfrontal	ex
40	62.22411 120.32761 104.53106	lh.superiorfrontal	ex
41	65.32186 120.01343 103.48215	lh.superiorfrontal	ex
42	68.86049 118.35893 102.00062	lh.superiorfrontal	ex
43	61.96478 117.11336 88.73292	lh.superiorfrontal	ex
44	61.69413 120.64009 104.71205	lh.superiorfrontal	ex
45	63.07085 124.95432 78.91203	lh.superiorfrontal	ex
46	70.27989 105.95922 83.32562	rh.caudalanteriorcingulate	ex
47	70.48792 110.52412 77.07771	rh.caudalanteriorcingulate	ex
48	69.88835 109.92233 73.62393	rh.caudalanteriorcingulate	ex
49	70.4308 111.63361 74.28175	rh.caudalanteriorcingulate	ex
50	70.08119 112.76256 72.49139	rh.caudalanteriorcingulate	ex
51	70.31454 114.3273 71.9532	rh.caudalanteriorcingulate	ex
52	69.95012 114.14135 70.00218	rh.caudalanteriorcingulate	ex
53	70.07205 114.90905 69.00044	rh.caudalanteriorcingulate	ex
54	70.06544 113.95298 66.90515	rh.caudalanteriorcingulate	ex
55	69.55767 110.00998 93.31915	lh.caudalanteriorcingulate	ex
56	68.34952 111.2141 93.64446	lh.caudalanteriorcingulate	ex
57	69.83875 114.74272 87.54194	lh.caudalanteriorcingulate	ex
58	69.61963 108.97776 93.99704	lh.posteriorcingulate	ex
59	66.81121 111.19662 93.90286	lh.caudalanteriorcingulate	ex
60	68.70192 112.32109 92.64761	lh.caudalanteriorcingulate	ex
61	68.50987 114.94824 90.29619	lh.caudalanteriorcingulate	ex
62	67.24699 114.50618 91.3362	lh.caudalanteriorcingulate	ex
63	64.99829 114.94193 90.98711	lh.caudalanteriorcingulate	ex
64	64.76718 115.83968 89.83191	lh.caudalanteriorcingulate	ex
65	68.15285 116.25291 89.03099	lh.caudalanteriorcingulate	ex
66	69.71352 116.47719 87.00214	lh.caudalanteriorcingulate	ex
67	66.33358 115.27658 91.3946	lh.superiorfrontal	ex
68	67.2409 116.39496 90.11631	lh.superiorfrontal	ex
69	66.05426 112.50247 93.0927	lh.caudalanteriorcingulate	ex
70	70.30898 109.72281 89.33024	lh.caudalanteriorcingulate	ex
71	70.11949 109.23546 87.54885	lh.caudalanteriorcingulate	ex
72	70.42257 108.3901 89.66303	lh.posteriorcingulate	ex
73	69.97928 110.11184 86.68065	lh.caudalanteriorcingulate	ex
74	70.06309 108.09416 86.84181	lh.posteriorcingulate	ex
75	64.49547 112.56931 92.4257	lh.caudalanteriorcingulate	ex
76	62.13838 111.19589 91.76652	lh.superiorfrontal	ex
77	69.44189 109.9299 85.12802	lh.caudalanteriorcingulate	ex
78	69.55438 107.65281 85.42244	lh.posteriorcingulate	ex
79	70.36138 111.99213 88.72524	lh.caudalanteriorcingulate	ex
80	67.41184 113.22328 92.4397	lh.caudalanteriorcingulate	ex
81	69.74187 111.50866 87.26795	lh.caudalanteriorcingulate	ex
82	63.60435 113.72587 91.4236	lh.caudalanteriorcingulate	ex
83	69.45503 111.36881 84.56377	lh.caudalanteriorcingulate	ex
84	68.4178 110.97341 82.4221	lh.caudalanteriorcingulate	ex
85	68.70132 109.60275 79.84574	lh.posteriorcingulate	ex
86	68.65885 112.11096 81.19435	lh.caudalanteriorcingulate	ex
87	69.01639 111.75698 83.4351	lh.caudalanteriorcingulate	ex
88	69.95257 112.44444 91.50536	lh.caudalanteriorcingulate	ex
89	69.92546 113.78877 90.25631	lh.caudalanteriorcingulate	ex
90	69.98411 112.41258 85.88022	lh.caudalanteriorcingulate	ex
91	70.21606 113.64182 88.94603	lh.caudalanteriorcingulate	ex
92	62.03202 112.79452 90.94817	lh.caudalanteriorcingulate	ex
93	62.01372 113.0533 91.14843	lh.caudalanteriorcingulate	ex
94	45.83161 112.87557 103.49537	lh.caudalmiddlefrontal	ex
95	47.08134 112.33375 102.34836	lh.caudalmiddlefrontal	ex
96	45.4686 115.03871 102.40519	lh.caudalmiddlefrontal	ex
97	43.28252 116.52147 99.74133	lh.caudalmiddlefrontal	ex
98	34.50172 116.12675 76.43247	lh.caudalmiddlefrontal	ex
99	34.30387 118.16396 76.29391	lh.caudalmiddlefrontal	ex
