# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>
2 1     2 2     1
2 1     2 3     1
2 2     2 3     1
2 3     2 2     1
2 5     2 4     1
2 5     2 6     1
2 6     2 4     1
2 6     2 5     1
2 7     2 9     1
2 8     2 7     1
2 10     2 12     1
2 11     2 10     1
2 11     2 12     1
2 13     2 14     1
2 13     2 15     1
2 14     2 13     1
2 14     2 15     1
2 15     2 13     1
2 15     2 14     1
